X1	X2	year_date	letter_id	folio_or_catalogue
297	7848	1607	L624	F40
257	256	1607	L625	F37
298	401	1607	L626	F35
299	576	1608	L627	F32
300	576	1608	L628	F32
301	576	1608	L629	F32
302	576	1608	L630	F32
214	7849	1608	L631	F41
303	576	1608	L632	F32
223	613	1608	L633	NA
304	576	1608	L634	F32
305	7812	1608	L635	F8
306	258	1608	L636	F28
264	68	1608	L637	F13
307	258	1608	L638	F28
308	1058	1608	L639	F42
274	68	1608	L640	F13
309	68	1608	L641	F13
310	401	1608	L642	F35
68	266	1608	L643	F13
311	7812	1608	L644	F8
223	613	1608	L645	NA
266	68	1608	L646	F13
312	576	1608	L647	F32
258	7850	1608	L648	F28
313	576	1609	L649	F32
314	256	1609	L650	F37
296	337	1609	L651	F32
315	258	1609	L652	F43
316	256	1609	L653	F37
317	613	1609	L654	F29
318	1286	1609	L655	F28
319	331	1609	L656	F44
281	576	1609	L657	F32
266	68	1609	L658	F13
320	576	1609	L659	F32
92	576	1609	L660	F32
214	7849	1609	L661	F41
315	258	1609	L662	F28
266	319	1609	L663	F45
315	258	1609	L664	F28
315	258	1609	L665	F28
321	7847	1609	L666	F37
322	256	1609	L667	F37
323	256	1609	L668	F37
324	576	1609	L669	F32
243	576	1609	L670	F32
256	7851	1609	L671	F37
325	576	1609	L672	F32
326	241	1610	L673	F46
223	401	1610	L674	F36
112	278	1610	L675	F8
327	374	1610	L676	F37
328	576	1610	L677	F32
329	256	1610	L678	F37
330	613	1610	L679	NA
246	401	1610	L680	F35
331	256	1610	L681	F37
332	68	1610	L682	F13
333	613	1610	L683	NA
334	7812	1610	L684	F30
335	7812	1610	L685	F30
328	576	1610	L686	F32
262	68	1610	L687	F13
246	401	1610	L688	F35
336	337	1610	L689	F32
337	576	1610	L690	F32
338	256	1610	L691	F37
257	256	1610	L692	F37
335	7812	1610	L693	F30
339	576	1610	L694	F32
68	7584	1610	L695	F13
340	576	1610	L696	F32
341	576	1610	L697	F32
337	576	1610	L698	F32
223	401	1610	L699	F36
342	258	1610	L700	F28
312	576	1610	L701	F32
319	374	1610	L702	F44
266	68	1610	L703	F13
316	256	1610	L704	F37
343	576	1610	L705	F32
223	401	1611	L706	F36
326	241	1611	L707	F46
288	7812	1611	L708	F30
344	576	1611	L709	F32
266	319	1611	L710	F45
319	374	1611	L711	F44
319	7852	1611	L712	F44
319	92	1611	L713	F44
345	258	1611	L714	F28
326	241	1611	L715	F46
293	613	1611	L716	F29
346	576	1611	L717	F32
319	7853	1611	L718	F44
319	7852	1611	L719	F44
347	401	1611	L720	F35
319	7854	1611	L721	F44
348	401	1611	L722	F35
349	576	1611	L723	F32
341	79	1611	L724	F23
315	7855	1611	L725	F28
350	7847	1611	L726	F47
262	68	1611	L727	F13
324	576	1611	L728	F32
326	241	1611	L729	F46
351	256	1611	L730	F47
312	576	1611	L731	F32
326	241	1611	L732	F46
352	258	1611	L733	F28
353	613	1611	L734	F29
354	7277	1611	L735	F30
355	576	1611	L736	F32
356	576	1611	L737	F32
312	576	1611	L738	F32
256	68	1611	L739	F13
223	401	1611	L740	F36
357	576	1611	L741	F32
205	613	1612	L742	F29
326	79	1612	L743	F46
358	613	1612	L744	F29
359	613	1612	L745	F29
360	613	1612	L746	NA
325	576	1612	L747	F32
319	374	1612	L748	F44
288	7812	1612	L749	F30
361	7812	1612	L750	F30
362	576	1612	L751	F32
319	7852	1612	L752	F44
363	256	1612	L753	F47
364	326	1612	L754	F46
319	274	1612	L755	F44
68	7856	1612	L756	F13
365	576	1612	L757	F32
266	319	1612	L758	F45
366	613	1612	L759	F29
367	613	1612	L760	NA
368	401	1612	L761	F36
319	7857	1612	L762	F44
319	7857	1612	L763	F44
319	7857	1612	L764	F44
369	401	1612	L765	F35
257	256	1612	L766	F47
370	266	1612	L767	F8
112	7858	1612	L768	F8
223	401	1612	L769	F36
326	79	1612	L770	F46
371	576	1612	L771	F32
352	258	1612	L772	F28
372	888	1612	L773	F48
371	576	1612	L774	F32
337	576	1612	L775	F32
319	266	1612	L776	F44
373	7812	1612	L777	F30
373	7812	1612	L778	F30
349	576	1612	L779	F32
319	374	1612	L780	F44
304	7859	1612	L781	F25
374	256	1612	L782	F47
375	576	1612	L783	F32
371	576	1612	L784	F32
376	256	1612	L785	F47
355	576	1613	L786	F32
319	374	1613	L787	F44
377	613	1613	L788	F29
378	7860	1613	L789	F47
319	374	1613	L790	F44
379	258	1613	L791	F28
347	401	1613	L792	F35
380	750	1613	L793	F1
366	7861	1613	L794	F29
366	613	1613	L794	F29
381	576	1613	L795	F32
375	576	1613	L796	F32
382	7286	1613	L797	F48
383	613	1613	L798	F29
384	456	1613	L799	F49
385	456	1613	L800	F49
384	456	1613	L801	F49
386	456	1613	L802	F49
387	576	1613	L803	F32
112	7862	1613	L804	F8
347	401	1613	L805	F35
388	401	1613	L806	F35
266	68	1613	L807	F13
319	397	1613	L808	F44
250	456	1613	L809	F49
389	613	1613	L810	F29
390	613	1613	L811	F29
257	256	1613	L812	F47
391	576	1613	L813	F32
