X1	X2	year_date	letter_id	folio_or_catalogue
64	9972	1560	L663	F11
86	64	1560	L664	F11
33	9974	1560	L665	F7
33	155	1560	L666	F7
87	586	1560	L667	F8
33	158	1560	L668	F7
64	141	1560	L669	F11
33	158	1560	L670	F7
88	74	1560	L671	F8
33	104	1560	L672	F7
64	9972	1560	L673	F11
64	9975	1560	L673	F11
89	112	1560	L674	F8
90	96	1560	L675	F14
33	155	1560	L676	F7
91	64	1560	L677	F11
87	586	1560	L678	F8
33	155	1560	L679	F7
92	74	1560	L680	F8
93	67	1560	L681	F8
93	74	1560	L681	F8
94	64	1560	L682	F11
33	83	1560	L683	F7
33	83	1560	L684	F7
33	83	1560	L685	F7
33	83	1560	L686	F7
94	64	1560	L687	F11
33	83	1560	L688	F7
64	9967	1560	L689	F11
94	64	1560	L690	F11
93	67	1560	L691	F8
93	3274	1560	L691	F8
95	66	1560	L692	F15
33	9976	1561	L693	F7
96	56	1561	L694	F14
97	9977	1561	L695	F8
98	9978	1561	L696	F16
88	74	1561	L697	F8
88	76	1561	L698	F8
99	67	1561	L699	F8
100	74	1561	L700	F8
101	33	1561	L701	F7
81	106	1561	L702	F10
97	129	1561	L703	F8
102	73	1561	L704	F13
103	73	1561	L705	F13
33	41	1561	L706	F7
53	128	1561	L707	F9
88	74	1561	L708	F8
84	74	1561	L709	F8
96	56	1561	L710	F14
33	155	1561	L711	F7
104	33	1561	L712	F7
33	155	1561	L713	F7
33	155	1561	L714	F7
33	155	1561	L715	F7
96	992	1561	L716	F14
33	155	1561	L717	F7
33	104	1561	L718	F7
96	9979	1561	L719	F14
33	155	1561	L720	F7
105	67	1561	L721	F8
106	9980	1561	L722	F10
106	169	1561	L723	F10
106	9980	1561	L724	F10
106	9981	1561	L725	F10
33	9974	1561	L726	F7
33	155	1561	L727	F7
107	64	1561	L728	F11
93	9982	1561	L729	F8
67	2695	1561	L730	F8
106	9981	1561	L731	F10
106	9983	1561	L732	F10
106	505	1561	L733	F10
33	155	1561	L734	F7
106	169	1561	L735	F10
106	9984	1562	L736	F10
33	155	1562	L737	F7
33	118	1562	L738	F7
33	118	1562	L739	F7
33	118	1562	L740	F7
108	9985	1562	L741	F8
109	76	1562	L742	F8
108	174	1562	L743	F8
33	118	1562	L744	F7
84	74	1562	L745	F8
105	67	1562	L746	F8
33	118	1562	L747	F7
107	64	1562	L748	F11
33	118	1562	L749	F7
33	118	1562	L750	F7
67	9986	1562	L751	F8
33	118	1562	L752	F7
33	118	1562	L753	F7
100	74	1562	L754	F8
105	67	1562	L755	F8
110	9987	1562	L756	F5
110	9988	1562	L756	F5
110	9989	1562	L756	F5
110	9990	1562	L756	F5
110	9991	1562	L756	F5
111	345	1563	L757	F8
93	74	1563	L758	F8
33	158	1563	L759	F7
74	263	1563	L760	F8
112	9992	1563	L761	F8
113	9992	1563	L761	F8
33	158	1563	L762	F7
96	56	1563	L763	F14
114	33	1563	L764	F7
33	116	1563	L765	F7
115	96	1563	L766	F14
116	33	1563	L767	F7
117	73	1563	L768	F13
96	9993	1563	L769	F14
109	74	1563	L770	F8
118	33	1563	L771	F7
105	76	1563	L772	F8
119	96	1564	L773	F14
93	74	1564	L774	F8
120	74	1564	L775	F8
121	189	1564	L776	F8
33	9994	1564	L777	F7
117	73	1564	L778	F13
122	33	1564	L779	F7
96	56	1564	L780	F14
123	33	1564	L781	F7
96	56	1564	L782	F14
119	96	1564	L783	F14
124	64	1564	L784	F11
125	110	1564	L785	F5
126	64	1564	L786	F11
96	56	1564	L787	F14
98	1263	1564	L788	F16
127	64	1564	L789	F11
128	53	1564	L790	F9
129	93	1565	L791	F8
126	64	1565	L792	F11
100	74	1565	L793	F8
106	9995	1565	L794	F10
130	106	1565	L795	F10
98	164	1565	L796	F16
131	9996	1565	L797	F8
132	132	1565	L798	F11
64	132	1565	L798	F11
64	9997	1565	L798	F11
132	9997	1565	L798	F11
130	106	1565	L799	F10
133	73	1565	L800	F13
